date,code,open,high,low,close
4/30/2019,801010,3421.41,3591.38,3421.36,3572.33
4/29/2019,801010,3552.22,3576,3436.39,3442.73
4/26/2019,801010,3666.65,3690.7,3546.53,3577.3
4/25/2019,801010,3719.39,3890.82,3702.26,3716.54
4/24/2019,801010,3673.2,3745.89,3642.9,3745.89
4/23/2019,801010,3671.7,3724.74,3605.79,3657.84
4/22/2019,801010,3601.68,3704.03,3600.5,3670.43
4/19/2019,801010,3568.95,3608.79,3545.36,3575.84
4/18/2019,801010,3586.23,3662.07,3577.12,3580.75
4/17/2019,801010,3487.56,3631.14,3480.36,3600.74
4/16/2019,801010,3485.85,3495.93,3379.22,3493.5
4/15/2019,801010,3620.23,3662.21,3518.33,3519.36
4/12/2019,801010,3510.64,3636.36,3503.82,3578.47
4/11/2019,801010,3527.1,3571.21,3490.15,3512.2
4/10/2019,801010,3508.23,3553.94,3480.39,3523.21
4/9/2019,801010,3563.25,3564.26,3510.11,3531.06
4/8/2019,801010,3629.57,3654.26,3547.44,3590.22
4/4/2019,801010,3549.52,3617.67,3508.73,3598.04
4/3/2019,801010,3486.77,3527.27,3466.94,3527.27
4/2/2019,801010,3605.26,3605.26,3485.11,3513.06
4/1/2019,801010,3409.8,3557.04,3409.8,3554.42
3/29/2019,801010,3232.07,3375.8,3232.01,3375.8
3/28/2019,801010,3225.54,3281.06,3208.71,3235.3
3/27/2019,801010,3254.12,3268.77,3212.89,3247.76
3/26/2019,801010,3311.62,3365.93,3257.66,3264.27
3/25/2019,801010,3219.39,3325.81,3218.91,3278.83
3/22/2019,801010,3341.77,3341.77,3209.08,3293.21
3/21/2019,801010,3297.18,3373.04,3270.11,3344.03
3/20/2019,801010,3365.72,3377.3,3233.11,3313.56
3/19/2019,801010,3385.59,3413.44,3336.64,3397.85
3/18/2019,801010,3333.6,3386.57,3273.39,3386.57
3/15/2019,801010,3263.45,3313.78,3231.89,3271.65
3/14/2019,801010,3330.9,3330.9,3159.64,3200.63
3/13/2019,801010,3638.45,3638.45,3377.12,3393.93
3/12/2019,801010,3385.28,3643.66,3385.28,3613.08
3/11/2019,801010,3366.6,3417.81,3263.7,3414.73
3/8/2019,801010,3205.67,3371.55,3185.47,3294.55
3/7/2019,801010,3280.2,3326.8,3231.71,3269.19
3/6/2019,801010,3183.22,3263.36,3168.95,3260.96
3/5/2019,801010,3119.16,3238.74,3118.27,3216.48
3/4/2019,801010,3010.99,3111.46,3010.86,3103.56
3/1/2019,801010,2907.43,2945.46,2876.66,2944.94
2/28/2019,801010,2882.08,2938.44,2841.38,2872.05
2/27/2019,801010,2985.85,2988.55,2884.93,2905.64
2/26/2019,801010,2899.37,3026.24,2882.8,2990.55
2/25/2019,801010,2874.3,2927.37,2824.01,2908.48
2/22/2019,801010,2824.23,2878.6,2792.97,2868.31
2/21/2019,801010,2796.86,2914.08,2782.83,2835.97
2/20/2019,801010,2781.99,2841.82,2755.81,2798.22
2/19/2019,801010,2752.76,2772.74,2711.43,2738.59
2/18/2019,801010,2655.89,2745.71,2655.77,2745.71
2/15/2019,801010,2570.07,2678.61,2567.49,2651.03
2/14/2019,801010,2563.75,2581.17,2553.32,2568.85
2/13/2019,801010,2553.11,2572.18,2540.96,2566.04
2/12/2019,801010,2528.65,2553.39,2527.41,2552.59
2/11/2019,801010,2404.21,2527.48,2404.16,2519.79
2/1/2019,801010,2359.76,2397.92,2359.41,2397.26
1/31/2019,801010,2370.87,2386.39,2346.71,2354.58
1/30/2019,801010,2388.36,2406.55,2374.53,2374.53
1/29/2019,801010,2402.35,2411.39,2370.75,2397.31
1/28/2019,801010,2415.78,2426.03,2404.7,2411.2
1/25/2019,801010,2427.6,2427.98,2400.85,2402.37
1/24/2019,801010,2396.01,2439.72,2395.95,2420.67
1/23/2019,801010,2366.05,2401.05,2363.33,2392.99
1/22/2019,801010,2383.94,2384.03,2360.64,2365.47
1/21/2019,801010,2403.94,2410.25,2387.28,2390
1/18/2019,801010,2363.55,2397.76,2354.61,2397.61
1/17/2019,801010,2372.25,2378.99,2352.2,2354.69
1/16/2019,801010,2371.2,2390.02,2365,2367.74
1/15/2019,801010,2363.71,2372.83,2335.53,2369.36
1/14/2019,801010,2366.54,2391.36,2364,2366.05
1/11/2019,801010,2347.15,2371.81,2346.85,2365.73
1/10/2019,801010,2353.78,2365.8,2339.35,2356.07
1/9/2019,801010,2358.02,2389.42,2353.79,2354.51
1/8/2019,801010,2354.84,2365.81,2342.08,2355.36
1/7/2019,801010,2328.62,2373.72,2326.03,2372.63
1/4/2019,801010,2251.27,2318.38,2251.27,2318.38
1/3/2019,801010,2269.78,2289.5,2262.24,2265.85
1/2/2019,801010,2279.13,2283.12,2262.93,2268.97
12/28/2018,801010,2245.89,2274.43,2230.92,2274.43
12/27/2018,801010,2308.44,2312,2253.2,2253.91
12/26/2018,801010,2289.63,2306.41,2279.26,2283.88
12/25/2018,801010,2292.33,2302.75,2267.23,2291.89
12/24/2018,801010,2267.9,2312.49,2267.9,2311.73
12/21/2018,801010,2279.6,2286.89,2258.23,2268.47
12/20/2018,801010,2244.71,2282.21,2244.71,2282.21
12/19/2018,801010,2292.64,2292.73,2244.79,2244.93
12/18/2018,801010,2287.59,2313.34,2275.72,2291.57
12/17/2018,801010,2290.47,2296.65,2267.67,2290.21
12/14/2018,801010,2347.32,2347.33,2294.7,2294.87
12/13/2018,801010,2348.04,2360.28,2312.32,2344.25
12/12/2018,801010,2356.26,2364.01,2344.79,2353.01
12/11/2018,801010,2362.98,2368.8,2339.64,2350.63
12/10/2018,801010,2355.58,2379.8,2352.48,2355.01
12/7/2018,801010,2372.51,2382.56,2332.32,2368.51
12/6/2018,801010,2399.14,2410.38,2366.07,2374.15
12/5/2018,801010,2332.97,2407.78,2329.2,2403.05
12/4/2018,801010,2343.38,2362.55,2336.79,2360.08
12/3/2018,801010,2309.59,2352.67,2299.77,2346.87
11/30/2018,801010,2265.29,2290.85,2263.93,2288.41
11/29/2018,801010,2282.74,2302.92,2270.29,2270.29
11/28/2018,801010,2227.35,2276.74,2223.66,2276.74
11/27/2018,801010,2237.23,2245,2221.71,2231.18
11/26/2018,801010,2227.73,2237.58,2216.52,2226.53
11/23/2018,801010,2276.36,2276.36,2222.91,2230.37
11/22/2018,801010,2289.74,2293.86,2264.67,2272.95
11/21/2018,801010,2251.17,2288.83,2240.66,2286.45
11/20/2018,801010,2307.56,2312.21,2261.69,2263.1
11/19/2018,801010,2326.25,2336.58,2306.19,2320.63
11/16/2018,801010,2317.06,2333.74,2308.25,2327.21
11/15/2018,801010,2291.8,2312.32,2288.49,2312.32
11/14/2018,801010,2289.96,2315.09,2285.77,2291.58
11/13/2018,801010,2230.49,2300.17,2223.2,2292.11
11/12/2018,801010,2191.28,2247.72,2191.28,2243.13
11/9/2018,801010,2224.63,2226.93,2199.19,2199.2
11/8/2018,801010,2238.18,2257.2,2226.75,2236.62
11/7/2018,801010,2237.94,2250.95,2225.64,2233.13
11/6/2018,801010,2227.28,2238.42,2208.63,2238
11/5/2018,801010,2212.1,2237.66,2205.26,2227.76
11/2/2018,801010,2192.74,2207.49,2171.16,2205.3
11/1/2018,801010,2158.58,2177.3,2154.86,2159.29
10/31/2018,801010,2132.27,2164.88,2130.11,2160.62
10/30/2018,801010,2127.06,2155.33,2080.94,2125.83
10/29/2018,801010,2153.57,2158.63,2132.25,2137.44
10/26/2018,801010,2158.41,2192.1,2153.37,2163.15
10/25/2018,801010,2121.56,2163.55,2110.41,2158.4
10/24/2018,801010,2144.25,2181.81,2141.56,2168.6
10/23/2018,801010,2162.36,2180.1,2140.65,2152.03
10/22/2018,801010,2108.54,2185.18,2107.79,2161.04
